Language,Group,Emotion,Angst,Ekel,Freude,neutral,Wut,Trauer
Deutsch,original,Angst,58.9,2.4,7.1,10.1,1.8,19.6
Deutsch,original,Ekel,2.4,45.2,9.5,8.9,26.8,7.1
Deutsch,original,Freude,0.0,0.6,54.8,38.7,2.4,3.6
Deutsch,original,neutral,1.2,3.6,4.2,75.6,12.5,3.0
Deutsch,original,Wut,1.8,1.8,3.6,1.2,91.7,0.0
Deutsch,original,Trauer,7.1,1.2,6.0,15.5,4.2,66.1
Deutsch,tempo,Angst,70.2,1.8,4.2,13.1,1.2,9.5
Deutsch,tempo,Ekel,3.0,36.3,7.1,16.7,31.0,6.0
Deutsch,tempo,Freude,1.2,1.2,40.5,45.8,10.1,1.2
Deutsch,tempo,neutral,6.5,3.6,1.2,68.5,19.0,1.2
Deutsch,tempo,Wut,0.6,3.0,0.6,0.6,94.6,0.6
Deutsch,tempo,Trauer,10.1,1.8,4.2,29.8,3.6,50.6
Armenisch,tempo,Angst,57.7,4.8,4.8,9.6,5.8,17.3
Armenisch,tempo,Ekel,3.8,34.6,11.5,9.6,33.7,6.7
Armenisch,tempo,Freude,0.0,3.8,24.0,61.5,8.7,1.9
Armenisch,tempo,neutral,0.0,1.0,4.8,76.0,17.3,1.0
Armenisch,tempo,Wut,0.0,4.8,1.0,3.8,90.4,0.0
Armenisch,tempo,Trauer,16.3,3.8,2.9,33.7,4.8,38.5
Armenisch,pitch,Angst,58.7,11.5,1.0,5.8,1.9,21.2
Armenisch,pitch,Ekel,8.7,45.2,8.7,6.7,23.1,7.7
Armenisch,pitch,Freude,7.7,6.7,51.9,13.5,12.5,7.7
Armenisch,pitch,neutral,5.8,3.8,10.6,49.0,12.5,18.3
Armenisch,pitch,Wut,1.0,19.2,4.8,2.9,71.2,1.0
Armenisch,pitch,Trauer,21.2,5.8,2.9,14.4,5.8,50.0
Deutsch,pitch,Angst,72.6,2.4,8.9,5.4,1.2,9.5
Deutsch,pitch,Ekel,4.8,45.2,8.9,8.9,26.2,6.0
Deutsch,pitch,Freude,6.5,1.2,72.0,12.5,2.4,5.4
Deutsch,pitch,neutral,7.7,3.6,14.3,53.0,14.3,7.1
Deutsch,pitch,Wut,7.7,9.5,4.2,0.6,78.0,0.0
Deutsch,pitch,Trauer,7.7,0.0,7.7,15.5,3.6,65.5
Armenisch,original,Angst,59.6,3.8,1.0,9.6,1.0,25.0
Armenisch,original,Ekel,2.9,51.9,9.6,2.9,22.1,10.6
Armenisch,original,Freude,1.0,1.0,34.6,49.0,9.6,4.8
Armenisch,original,neutral,1.0,3.8,1.9,77.9,13.5,1.9
Armenisch,original,Wut,0.0,6.7,3.8,3.8,83.7,1.9
Armenisch,original,Trauer,13.5,5.8,1.9,19.2,5.8,53.8
