sound,f0_mean,f0_median,Emotion,Geschlecht
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_nemmok_A.wav,151,147,Angst,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_sawet_E.wav,101,99,Ekel,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_tapik_s.wav,124,124,neutral,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_sawet_T.wav,80,79,Trauer,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_nemmok_A.wav,288,272,Angst,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_tapik_F.wav,187,217,Freude,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_sawet_T.wav,235,228,Trauer,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_nemmok_F.wav,237,276,Freude,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_sawet_s.wav,106,101,neutral,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_nemmok_W.wav,262,266,Wut,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_tapik_A.wav,225,172,Angst,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_misuk_T.wav,171,83,Trauer,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_sawet_E.wav,144,135,Ekel,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_nemmok_W.wav,248,258,Wut,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_tapik_A.wav,357,347,Angst,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_misuk_s.wav,142,149,neutral,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_tapik_T.wav,380,468,Trauer,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_misuk_E.wav,155,99,Ekel,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_nemmok_E.wav,101,98,Ekel,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_sawet_A.wav,111,116,Angst,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_tapik_F.wav,299,316,Freude,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_tapik_W.wav,353,347,Wut,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_nemmok_s.wav,100,103,neutral,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_nemmok_T.wav,187,160,Trauer,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_nemmok_T.wav,194,90,Trauer,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_nemmok_E.wav,222,209,Ekel,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_sawet_F.wav,212,201,Freude,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_misuk_W.wav,366,368,Wut,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_nemmok_s.wav,191,178,neutral,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_misuk_A.wav,361,309,Angst,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_tapik_E.wav,93,90,Ekel,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_misuk_T.wav,164,175,Trauer,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_nemmok_F.wav,143,150,Freude,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_sawet_W.wav,117,110,Wut,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_tapik_T.wav,156,137,Trauer,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_misuk_E.wav,431,434,Ekel,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_sawet_A.wav,302,301,Angst,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_misuk_s.wav,207,195,neutral,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_misuk_A.wav,185,175,Angst,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_misuk_F.wav,166,150,Freude,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_sawet_s.wav,182,179,neutral,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_sawet_W.wav,146,110,Wut,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_tapik_E.wav,319,337,Ekel,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_tapik_W.wav,204,201,Wut,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_misuk_F.wav,305,284,Freude,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/F_tapik_s.wav,179,195,neutral,weiblich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_sawet_F.wav,108,93,Freude,männlich
/home/mhemmer/Downloads/MA-related/Stimuli/Final/Original/M_misuk_W.wav,135,135,Wut,männlich
