;itemid;url;experiment;options
0;2287443;;Wortwörtlich Emotion (AM);Ինչպե՞ս եք վերաբերվում փոփոխություններին։
1;2287441;;Wortwörtlich Emotion (AM);Պարտականությունները կատարելիս հիմնականում միտված եք լինելու․․․
2;2287440;;Wortwörtlich Emotion (AM);Համարում եք Ձեզ ավելի շփվո՞ղ, թե՞ ինքնամփոփ մարդ։
4;2287456;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_T_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
5;2287485;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_s_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
6;2287584;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_s_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
7;2287583;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_E_pitch.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
8;2287483;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_W_tempo.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
9;2287514;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_E.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
10;2287501;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_A.wav;Wortwörtlich Emotion (AM);Ի՞նչ է զգում անձը բառն ասելիս։ Ընտրե՛ք նշված տարբերակներից մեկը։
