;itemid;url;experiment;options
0;2278347;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_T.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
1;2278370;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_W.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
2;2278368;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_s.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
3;2278270;;Wortwörtlich Emotion (DE);Wie offen und aufgeschlossen sind Sie für neue Erfahrungen?
4;2278271;;Wortwörtlich Emotion (DE);Wie gewissenhaft sind Sie?
5;2278272;;Wortwörtlich Emotion (DE);Wie extrovertiert schätzen Sie sich ein?
6;2278273;;Wortwörtlich Emotion (DE);Wie verträglich schätzen Sie sich ein?
7;2278274;;Wortwörtlich Emotion (DE);Wie impulsiv sind Sie?
8;2278362;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_F.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
9;2278280;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_A_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
10;2278401;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_nemmok_s_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
11;2278316;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_s_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
12;2278359;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_sawet_A.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
13;2278287;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_T_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
14;2278358;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_E.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
15;2278392;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_E_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
16;2278332;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_nemmok_W.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
17;2278418;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_tapik_A_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
18;2278395;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_W_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
19;2278378;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_F_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
20;2278350;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_W.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
21;2278361;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_A.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
22;2278369;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_sawet_F.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
23;2278300;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/M_misuk_A_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
24;2278396;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_A_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
25;2278310;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_misuk_T_tempo.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
26;2278383;https://www.phonetik.uni-muenchen.de/forschung/Bas/Experimente/2278116/F_tapik_E_pitch.wav;Wortwörtlich Emotion (DE);Welche Emotion hat der Sprecher? Wählen Sie bitte eine der angegebenen Optionen aus.
