;session;sex;age;language;foreign_language;control_question
0;2288085;F;20;Deutsch;Englisch, Französisch;Nothing
0;2287897;F;23;Deutsch ;Englisch;Nothing
0;2288238;F;21;Deutsch, Italienisch;Englisch, Französisch;Nothing
0;2288407;M;21;Deutsch;Englisch, ein bisschen Französisch;Nothing
0;2289014;M;42;Deutsch;Englisch, Französisch;Nothing
0;2288669;F;23;Deutsch und Italienisch;Englisch, etwas Arabisch;Nothing
0;2289358;M;22;Deutsch;Englisch, Spanisch, Chinesisch;Nothing
0;2288822;F;63;Deutsch;Keine ;Nothing
0;2289205;F;28;Deutsch;Englisch, Griechisch;Nothing
0;2289511;F;24;Deutsch;Englisch, Türkisch, Spanisch;Nothing
0;2289757;F;22;Deutsch;Englisch, Französisch, Latein, Italienisch;Nothing
0;2289708;F;28;Deutsch;Englisch, Spanisch, Französisch;Nothing
0;2290344;F;21;Deutsch;Russisch, Griechisch, Englisch;Nothing
0;2291471;M;25;Deutsch;Englisch, Spanisch, Französisch;Nothing
0;2293305;F;38;Deutsch;Englisch, Italienisch, Französisch;Nothing
0;2292900;F;22;Deutsch;Latein, französisch, portugiesisch, niederländisch;Nothing
0;2293458;M;38;deutsch ;englisch;Nothing
0;2294132;F;50;deutsch;Französisch, Englisch, Italienisch, Latein, Altgriechisch, etwas Spanisch;Nothing
0;2294285;M;99;russisch;keine;Nothing
0;2293787;F;73;Deutsch;Englisch,  französisch, italienisch ;Nothing
0;2294445;F;59;Deutsch;Englisch, italienisch;Nothing
0;2294738;F;62;Deutsch;Englisch, Italienisch ;Nothing
0;2302351;M;40;Deutsch;englisch;Nothing
0;2303434;M;66;Deutsch;Englisch,Italienisch, Französisch;Nothing
0;2303587;F;64;deutsch;englisch, französisch, italienisch;Nothing
