;session;sex;age;language;foreign_languages;foreign_language
0;2290172;M;38;Armenian;;Russian, Polish, English
0;2291325;M;21;Հայերեն;;Ռուսերեն, անգլերեն
0;2290792;F;24;Հայերեն;;Անգլերեն, ռուսերեն, կորեերեն
0;2291645;F;24;Հայերեն;;Ռուսերեն Անգլերեն, Վրացերեն, Կորեերեն
0;2292747;F;25;Հայերեն;;Անգլերեն Ռուսերեն 
0;2293121;F;20;Հայերեն;;անգլերեն,ռուսերեն,չինարեն
0;2295553;F;20;Հայերեն ;;Ոչ մի 
0;2294899;F;22;հայերեն;;անգլերեն ռուսերեն
0;2295304;F;21;Հայերեն ;;անգլերեն, ֆրանսերեն, ռուսերեն
0;2295911;M;42;Հայերեն ;;Ռուսերեն 
0;2296271;F;18;հայոց ;;անգլերեն,ռուսերեն
0;2297509;M;43;Հայերեն ;;Ռուսերեն 
0;2302585;F;23;Հայերեն;;Անգլերեն, ռուսերեն
