sessionid,Klatschen,Eingaben
2290014,0,3
2290019,4,151
2290172,1,151
2290325,0,17
2290497,0,37
2291325,1,151
2290536,2,151
2291964,0,40
2291565,6,151
2290724,12,151
2290792,1,151
2291645,1,151
2290574,6,151
2291030,4,151
2291303,0,7
2291937,1,14
2291305,0,11
2291953,0,1
2292049,7,151
2292006,1,150
2292192,2,151
2292464,0,5
2293274,0,29
2292471,2,151
2292624,0,19
2292645,0,74
2292721,3,24
2292747,1,151
2293053,1,66
2293503,0,8
2293121,1,151
2293549,4,151
2294598,0,5
2294028,0,9
2294613,0,5
2294622,4,114
2294891,0,6
2295553,1,151
2294904,1,32
2295714,6,151
2294907,0,5
2294958,2,31
2294899,1,151
2295126,1,16
2295144,0,5
2295151,10,151
2295304,1,151
2295457,0,6
2295871,0,28
2296670,25,151
2295911,1,151
2296823,16,151
2296271,1,151
2297509,1,151
2302592,2,151
2302585,1,151
2304207,0,22
