sessionid,Klatschen,Eingaben
2288085,1,151
2288002,0,33
2287897,1,151
2288263,0,5
2288238,2,151
2288398,0,37
2288407,1,151
2288590,0,23
2288975,0,37
2288615,0,52
2289014,1,151
2288669,1,151
2289358,1,151
2289167,1,36
2288822,1,151
2289625,1,42
2289205,3,151
2289511,1,151
2289757,1,151
2289708,2,151
2290344,2,151
2291471,1,151
2293305,1,151
2292900,4,151
2293458,1,151
2294132,1,151
2294285,0,151
2293787,1,151
2293940,0,84
2294438,0,5
2294445,1,151
2294059,0,69
2294738,1,151
2302351,1,151
2303434,1,151
2303587,1,151
2305179,2,151
2306698,1,151
2307552,1,151
2307705,1,151
2314076,0,6
